,Team/Year,eFGPct,TOPct,ORPct,FTRate
0,2025 Abilene Christian,53.5680304471932,23.4061790948018,30.1127214170692,52.7117031398668
1,2025 Air Force,54.512105649303,15.8319096467969,28.9340101522843,34.7762289068232
2,2025 Akron,49.00074019245,17.665106765426,28.8461538461538,34.1968911917098
3,2025 Alabama,46.0885385081868,13.7178915600672,29.9521531100478,30.9278350515464
4,2025 Alabama A&M,54.4344995931652,20.8661700816885,37.8266850068776,47.2742066720911
5,2025 Alabama St.,52.0676691729323,17.6290755598318,33.4981458590853,41.7293233082707
6,2025 Albany,54.733492442323,20.2846444299654,29.5552367288379,37.0723945902944
7,2025 Alcorn St.,52.3899848254932,18.3851494602599,34.2002600780234,31.7147192716237
8,2025 American,52.938901778809,16.6008220599385,27.7401894451962,36.9682907965971
9,2025 Appalachian St.,45.5691367456073,14.8660906937215,29.1463414634146,22.7654698242934
10,2025 Arizona,47.0149253731343,17.8724766770001,27.641408751334,28.2225237449118
11,2025 Arizona St.,48.4563758389262,16.483275612643,30.1111111111111,29.5973154362416
12,2025 Arkansas,47.8947368421053,18.4043161089714,27.8350515463918,28.8421052631579
13,2025 Arkansas Pine Bluff,58.1610044313146,16.1925804607469,35.6578947368421,43.1314623338257
14,2025 Arkansas St.,45.8165997322624,17.8428649581282,30.5810397553517,37.14859437751
15,2025 Army,52.887323943662,15.6870068630655,29.0598290598291,25.9859154929577
16,2025 Auburn,45.1659451659452,17.6204785080117,29.7418630751964,36.7965367965368
17,2025 Austin Peay,52.4297646165528,17.971819805517,33.2046332046332,36.4464692482916
18,2025 BYU,50.8474576271186,17.772232408457,24.4873341375151,29.6241709653648
19,2025 Ball St.,52.0383693045564,13.9651219342736,29.1156462585034,32.7737809752198
20,2025 Baylor,52.4015748031496,19.6343504570619,31.1740890688259,33.5433070866142
21,2025 Bellarmine,59.1393754760091,15.1828292494632,30.6382978723404,34.2726580350343
22,2025 Belmont,55.3114754098361,17.4857857710121,29.3364377182771,26.8196721311475
23,2025 Bethune Cookman,49.1264849755416,17.1236977607472,31.1717861205916,32.5646401118099
24,2025 Binghamton,49.4607087827427,12.6687894835425,28.1368821292776,33.9753466872111
25,2025 Boise St.,48.5133020344288,15.9339134409743,22.7506426735219,30.829420970266
26,2025 Boston College,52.7578796561605,15.022232904699,29.2682926829268,38.6103151862464
27,2025 Boston University,52.6495079485238,16.6095583012668,23.5897435897436,30.9613928841787
28,2025 Bowling Green,54.0140296180826,18.0963420917053,28.7308228730823,31.8784099766173
29,2025 Bradley,47.7739726027397,16.0029202409199,28.3387622149837,34.7945205479452
30,2025 Brown,50.520381613183,15.2845591215238,30.8370044052863,28.7077189939289
31,2025 Bryant,47.8687415426252,16.284146557319,30.8888888888889,31.7997293640054
32,2025 Bucknell,50.8392511297611,17.6305272309424,29.520697167756,34.151065203357
33,2025 Buffalo,53.6101083032491,16.2396752064959,31.5594059405941,32.202166064982
34,2025 Butler,48.2872200263505,11.4544506610432,28.555431131019,22.3320158102767
35,2025 CSUN,49.4491525423729,21.4397471844841,23.0569948186528,48.3050847457627
36,2025 Cal Baptist,50.187969924812,17.8951112516302,29.9874529485571,32.406015037594
37,2025 Cal Poly,53.3401499659168,18.5897018263948,34.6793349168646,32.8561690524881
38,2025 Cal St. Bakersfield,55.0170068027211,18.8530523606531,29.6671490593343,50.5102040816327
39,2025 Cal St. Fullerton,52.7244819646969,17.5518668876664,31.6818774445893,37.9892555640829
40,2025 California,52.4473147518695,15.7370503306689,30.0236406619385,30.7953772943576
41,2025 Campbell,50.5586592178771,19.0228013029316,26.8456375838926,32.2426177174781
42,2025 Canisius,56.9758948137327,15.7134823896532,34.06292749658,31.190650109569
43,2025 Central Arkansas,55.9261887863733,17.1730308205763,31.125,23.4918381831086
44,2025 Central Connecticut,48.2377049180328,17.9025604615841,25.2348993288591,19.0983606557377
45,2025 Central Michigan,53.957783641161,18.3165279189677,28.7425149700599,32.2779243623571
46,2025 Charleston,50.2336448598131,16.7457034999964,28.7150837988827,28.0373831775701
47,2025 Charleston Southern,52.875816993464,13.680744777475,28.1963470319635,33.6601307189542
48,2025 Charlotte,53.5481535119479,14.4850159010191,29.8335467349552,34.8298334540188
49,2025 Chattanooga,51.1404133998575,16.2952457111819,29.2712066905615,34.4262295081967
50,2025 Chicago St.,53.6082474226804,18.2862335044118,33.5656213704994,38.7628865979381
51,2025 Cincinnati,47.2992700729927,19.2684597038891,29.0841584158416,24.4525547445255
52,2025 Clemson,49.5792426367461,19.8755539639196,30.2646720368239,26.9985974754558
53,2025 Cleveland St.,50.4105090311987,22.4930322274804,34.1001353179973,36.6995073891626
54,2025 Coastal Carolina,49.400299850075,10.7677036189579,27.6110444177671,35.3073463268366
55,2025 Colgate,53.2135452660677,16.2107396149949,27.1961492178099,26.1921216309606
56,2025 Colorado,50.4322766570605,17.0136760287295,28.436018957346,33.1412103746398
57,2025 Colorado St.,49.235807860262,16.4296130032142,25.7142857142857,34.1339155749636
58,2025 Columbia,55.0505050505051,17.7454659161976,28.2679738562091,26.7217630853994
59,2025 Connecticut,48.2985305491106,16.3221746158796,27.3399014778325,41.9180201082753
60,2025 Coppin St.,57.1490094745909,20.0803212851406,33.1269349845201,37.5538329026701
61,2025 Cornell,52.4324324324324,15.7561292701148,30.2325581395349,31.6216216216216
62,2025 Creighton,45.6534954407295,12.2198997266601,27.2277227722772,16.7173252279635
63,2025 Dartmouth,51.3501742160279,14.2251084761159,26.2048192771084,24.1289198606272
64,2025 Davidson,51.5425131677953,14.8915931380588,26.860025220681,28.6681715575621
65,2025 Dayton,51.1078286558346,18.3868961880249,29.2652552926526,28.5081240768095
66,2025 DePaul,50.5674232309746,16.0714543799049,28.2536151279199,29.0387182910547
67,2025 Delaware,50.9427374301676,15.4260999162627,32.981220657277,32.9608938547486
68,2025 Delaware St.,52.5431861804223,18.4933049926046,31.9805194805195,38.7715930902111
69,2025 Denver,55.1890587288817,16.9892641642505,30.0,49.9597747385358
70,2025 Detroit Mercy,50.5778382053025,16.2726999023344,31.1422413793103,36.4377974167233
71,2025 Drake,52.3026315789474,22.1304062560956,26.1788617886179,37.593984962406
72,2025 Drexel,47.2360028348689,14.1163496002206,28.8,30.049610205528
73,2025 Duke,44.2124542124542,18.1872720670656,26.0381593714927,25.3479853479853
74,2025 Duquesne,49.4650205761317,20.1593182967365,31.781914893617,39.6707818930041
75,2025 East Carolina,51.5825169555388,17.8149715499342,30.719794344473,32.1024868123587
76,2025 East Tennessee St.,49.923896499239,19.0682285051199,30.440097799511,36.4535768645358
77,2025 East Texas A&M,54.4420753375977,19.5712203446937,34.793491864831,36.318407960199
78,2025 Eastern Illinois,51.9102990033223,19.3904423234983,30.6342780026991,39.8671096345515
79,2025 Eastern Kentucky,52.8158844765343,17.8709511126385,33.3740831295843,31.2635379061372
80,2025 Eastern Michigan,54.4196771714066,18.1806783273776,31.7006802721088,39.0468870099923
81,2025 Eastern Washington,53.125,19.1785807533764,33.8196286472149,38.9660493827161
82,2025 Elon,46.643598615917,13.2207486824472,31.5904139433551,24.2214532871972
83,2025 Evansville,50.6704304869442,17.0777562225202,30.1026225769669,34.6506704304869
84,2025 FIU,52.4691358024691,21.544849033768,30.1408450704225,39.4238683127572
85,2025 Fairfield,54.9301242236025,17.0661065482979,31.3390313390313,31.3664596273292
86,2025 Fairleigh Dickinson,51.7424242424242,17.0160054764156,33.4666666666667,32.8030303030303
87,2025 Florida,44.0435670524166,17.8642729329646,29.1752577319588,29.4077603812117
88,2025 Florida A&M,51.9311502938707,16.0414766106961,33.7969401947149,38.3711167086482
89,2025 Florida Atlantic,50.7057163020466,17.4780768067735,31.4087759815243,33.1686661961891
90,2025 Florida Gulf Coast,49.8915401301518,15.0759339319366,27.8177458033573,28.6334056399132
91,2025 Florida St.,47.5233309404164,19.8689525701805,30.7428571428571,37.7602297200287
92,2025 Fordham,52.8205128205128,17.2099047849898,30.0621118012422,37.2161172161172
93,2025 Fresno St.,54.996934396076,18.4671958985646,33.442265795207,24.0343347639485
94,2025 Furman,49.3019838354151,16.5014089539633,31.7191283292978,29.5371050698016
95,2025 Gardner Webb,51.6632016632017,14.6893324646094,30.3550973654066,38.1843381843382
96,2025 George Mason,43.8400576368876,18.2010187600944,28.169014084507,29.1066282420749
97,2025 George Washington,47.3535638673253,19.5937184843682,32.5714285714286,27.5229357798165
98,2025 Georgetown,46.6250917094644,20.905976748998,29.3556085918854,27.6595744680851
99,2025 Georgia,46.2314939434724,19.1365295409269,31.6248636859324,28.2637954239569
100,2025 Georgia Southern,50.1078360891445,18.7536628247705,33.6405529953917,45.2911574406901
101,2025 Georgia St.,51.9007731958763,13.4131454708573,30.8546059933407,27.3840206185567
102,2025 Georgia Tech,48.9250814332248,16.085109985467,28.8336933045356,29.1205211726384
103,2025 Gonzaga,47.7030625832224,18.1142202219551,26.096256684492,29.2942743009321
104,2025 Grambling St.,51.453488372093,17.7710392003032,30.8016877637131,31.5614617940199
105,2025 Grand Canyon,46.425855513308,20.6529804600544,28.0199252801993,31.1026615969582
106,2025 Green Bay,55.0659264399722,14.294403892944,32.6481257557436,34.0041637751561
107,2025 Hampton,54.3782837127846,18.4549101425676,29.1233283803863,46.6725043782837
108,2025 Harvard,52.0944741532977,17.8286920738561,32.9192546583851,25.8467023172906
109,2025 Hawaii,48.9763779527559,13.8210973011959,25.1664447403462,34.488188976378
110,2025 High Point,49.3449781659389,15.559601051829,30.7511737089202,37.0451237263464
111,2025 Hofstra,46.2423312883436,15.466504323217,28.4883720930233,37.2699386503067
112,2025 Holy Cross,53.3380681818182,13.7883926514857,27.1122320302648,24.8579545454545
113,2025 Houston,45.1572847682119,22.5628448804414,28.5359801488834,35.0993377483444
114,2025 Houston Christian,53.0691530691531,17.7247663629246,32.5068870523416,29.9145299145299
115,2025 Howard,54.719387755102,16.4095309668008,32.8220858895706,38.0102040816327
116,2025 IU Indy,56.403574087863,16.0857489340062,32.8822733423545,38.421444527178
117,2025 Idaho,54.5945945945946,16.3455925277291,32.1989528795811,38.7644787644788
118,2025 Idaho St.,53.1965648854962,17.9074584957342,26.5238879736409,34.8282442748092
119,2025 Illinois,44.6646341463415,13.008749608785,24.8549323017408,27.1951219512195
120,2025 Illinois Chicago,51.7041334300218,15.8957534309875,28.3600493218249,34.4452501812908
121,2025 Illinois St.,54.4075144508671,16.3005605211332,24.2839352428394,30.8526011560694
122,2025 Incarnate Word,53.8461538461538,17.5520050980928,30.421686746988,37.5773651635721
123,2025 Indiana,49.7047244094488,15.8735823335023,28.8671023965142,29.1994750656168
124,2025 Indiana St.,54.491643454039,16.2866911629095,26.9689737470167,38.9275766016713
125,2025 Iona,53.3623417721519,23.8990594999512,29.9731182795699,37.5791139240506
126,2025 Iowa,53.9719626168224,19.5296049109533,32.3389021479714,26.1682242990654
127,2025 Iowa St.,47.780959198282,21.8316455602841,28.0232558139535,26.4853256979241
128,2025 Jackson St.,53.0,18.5179860252466,31.8874560375147,33.0344827586207
129,2025 Jacksonville,50.7581803671189,19.8125005108421,30.0944669365722,33.8387869114126
130,2025 Jacksonville St.,49.0566037735849,11.9552398700048,26.1935483870968,25.4716981132075
131,2025 James Madison,50.8114374034003,15.2432936164548,27.6762402088773,31.4528593508501
132,2025 Kansas,44.4101508916324,15.9928122192273,26.5591397849462,28.1893004115226
133,2025 Kansas City,52.1684737281068,17.5737500756744,30.5832147937411,36.3636363636364
134,2025 Kansas St.,49.3988684582744,18.4817879913975,31.7689530685921,27.2984441301273
135,2025 Kennesaw St.,47.848200312989,15.2492379489118,28.7671232876712,39.6713615023474
136,2025 Kent St.,46.9527896995708,19.8959522903185,28.5129604365621,40.5150214592275
137,2025 Kentucky,48.8219895287958,13.4209825253623,26.4150943396226,30.7591623036649
138,2025 LIU,48.5595147839272,18.6528962058993,28.4671532846715,43.8210765731615
139,2025 LSU,46.6644865925441,16.5785504020152,33.7837837837838,28.8423806409418
140,2025 La Salle,52.8040540540541,16.8855534709193,29.8578199052133,27.027027027027
141,2025 Lafayette,49.9306518723994,16.7229361385357,29.1954022988506,28.502080443828
142,2025 Lamar,47.9248238057948,17.9001254364851,34.1161928306551,33.8292873923258
143,2025 Le Moyne,54.3572984749455,16.0366026273709,33.2094175960347,39.5787944807553
144,2025 Lehigh,51.223362273086,16.1542733101116,29.6703296703297,32.0441988950276
145,2025 Liberty,45.7508250825082,17.9598211116632,28.3400809716599,26.6501650165016
146,2025 Lindenwood,50.9375,19.6646304363698,33.160621761658,35.46875
147,2025 Lipscomb,49.2407809110629,16.8035134619057,26.7538644470868,22.704266088214
148,2025 Little Rock,44.2647058823529,21.4347872551564,35.1769911504425,37.2058823529412
149,2025 Long Beach St.,53.5444947209653,17.3093973433979,35.5297157622739,34.4645550527903
150,2025 Longwood,55.1986475063398,21.3060546334153,30.0872093023256,40.8284023668639
151,2025 Louisiana,52.540500736377,18.551626633553,34.6153846153846,44.2562592047128
152,2025 Louisiana Monroe,53.4296028880866,16.8613945645863,31.6770186335404,26.2815884476534
153,2025 Louisiana Tech,48.1846882399369,14.1049721798916,28.6811779769526,27.9400157853197
154,2025 Louisville,50.1715854495539,18.9030214669951,26.2626262626263,26.8359643102265
155,2025 Loyola Chicago,49.4270435446906,18.6743735509893,28.5,32.620320855615
156,2025 Loyola MD,51.9877675840979,16.6252921151156,27.9627163781625,30.4281345565749
157,2025 Loyola Marymount,46.5292096219931,15.6389599480738,30.7262569832402,28.4536082474227
158,2025 Maine,50.0793650793651,22.3188217738273,31.9092122830441,29.8412698412698
159,2025 Manhattan,51.0817307692308,15.6740093648611,32.96853625171,27.0032051282051
160,2025 Marist,46.4904679376083,16.9919507014649,25.9615384615385,32.3223570190641
161,2025 Marquette,50.6914119359534,23.1728795796277,30.826140567201,30.0582241630277
162,2025 Marshall,50.2309468822171,18.1209003822377,30.3030303030303,39.1070053887606
163,2025 Maryland,47.3060344827586,20.5812739808594,27.1345029239766,27.9454022988506
164,2025 Maryland Eastern Shore,56.1324977618621,15.0836854471443,35.9177215189873,38.1378692927484
165,2025 Massachusetts,48.3516483516484,17.7971721320242,31.3835770528684,37.9120879120879
166,2025 McNeese,48.0230642504119,22.1770344856206,31.0606060606061,35.337726523888
167,2025 Memphis,49.1319444444444,20.1646782053436,34.5537757437071,32.8472222222222
168,2025 Mercer,52.0847343644923,17.5855344797022,30.4347826086957,34.0954942837929
169,2025 Mercyhurst,55.3728949478749,20.7019555385693,33.6690647482014,39.2141138732959
170,2025 Merrimack,46.8349660889224,22.3683362341262,37.4848851269649,30.8967596081387
171,2025 Miami FL,57.2230014025245,14.9077468136992,30.3108808290155,27.6297335203366
172,2025 Miami OH,52.3387096774194,19.5461348650945,27.7929155313352,35.5645161290323
173,2025 Michigan,46.4976651100734,17.3260850606122,29.5896328293736,27.6851234156104
174,2025 Michigan St.,45.8009880028229,16.2312959675374,25.6550218340611,32.3923782639379
