,Unnamed: 0,Team/Year,eFGPct,TOPct,ORPct,FTRate
0,0,2025 Abilene Christian,47.4562135112594,20.6148693687103,28.2051282051282,39.6163469557965
1,1,2025 Air Force,50.2791068580542,20.7793814114209,24.0396530359356,37.2408293460925
2,2,2025 Akron,55.2723463687151,17.2932097808907,32.7586206896552,24.4413407821229
3,3,2025 Alabama,56.5045992115637,17.6686443293666,37.0495495495495,41.7214191852825
4,4,2025 Alabama A&M,44.8806774441878,21.7622632753806,35.225955967555,37.8752886836028
5,5,2025 Alabama St.,47.3665973665974,13.408029299027,27.556512378902,30.977130977131
6,6,2025 Albany,48.9167230873392,15.6322527513663,31.603229527105,29.0453622207177
7,7,2025 Alcorn St.,45.3852021357742,21.4277622230494,34.390243902439,30.8161708619375
8,8,2025 American,51.3650546021841,16.9308788883121,24.0522875816993,31.7472698907956
9,9,2025 Appalachian St.,51.0279605263158,17.1958567463273,26.7787839586028,36.2664473684211
10,10,2025 Arizona,52.8638814016172,16.6499294124496,36.4945978391357,35.44474393531
11,11,2025 Arizona St.,51.841155234657,18.5875235631932,26.9047619047619,35.5956678700361
12,12,2025 Arkansas,52.9163738580464,15.7920905967303,27.8810408921933,32.1855235418131
13,13,2025 Arkansas Pine Bluff,50.1152959262106,20.5188424159083,26.3736263736264,31.8216756341276
14,14,2025 Arkansas St.,49.1493383742911,14.5323963023748,32.3469387755102,34.4675488342785
15,15,2025 Army,51.5789473684211,14.4420063183778,26.3282172373081,25.0526315789474
16,16,2025 Auburn,56.241655540721,13.4424269030192,36.2407862407862,31.4419225634179
17,17,2025 Austin Peay,47.3001402524544,15.370836746098,25.8241758241758,28.8920056100982
18,18,2025 BYU,56.8929321203639,17.589640979603,33.4167709637046,29.1812456263121
19,19,2025 Ball St.,52.4454148471616,16.6747724588342,26.8465909090909,45.938864628821
20,20,2025 Baylor,53.2686781609195,16.351229560963,36.1111111111111,30.316091954023
21,21,2025 Bellarmine,52.5525525525526,17.9757358241691,20.8387942332896,27.1021021021021
22,22,2025 Belmont,55.8124598587026,15.7428296330656,28.0583613916947,25.9473346178548
23,23,2025 Bethune Cookman,47.8482859226842,19.2192551790205,28.7573964497041,34.8650619985412
24,24,2025 Binghamton,52.3577235772358,19.5859072263567,25.5405405405405,33.2520325203252
25,25,2025 Boise St.,53.6163522012579,16.8481543761122,33.008356545961,39.3081761006289
26,26,2025 Boston College,49.7181113460183,17.4858791010696,29.9295774647887,31.3601127554616
27,27,2025 Boston University,49.851411589896,20.5498169098759,32.1644498186215,30.4606240713224
28,28,2025 Bowling Green,49.8441153546376,16.8727460072128,26.0869565217391,34.8402182385035
29,29,2025 Bradley,57.3794096472282,17.8718744296404,26.3020833333333,32.9013678905688
30,30,2025 Brown,52.0288548241659,17.9863751278538,29.8798798798799,28.4039675383228
31,31,2025 Bryant,51.0249839846252,16.2164071052725,33.2615715823466,30.4292120435618
32,32,2025 Bucknell,52.5649794801642,18.9784268663355,25.4275940706956,37.7564979480164
33,33,2025 Buffalo,48.351226993865,18.9773982298132,23.7635705669481,32.2085889570552
34,34,2025 Butler,53.2869296210364,17.11942354232,28.4210526315789,41.1446249033256
35,35,2025 CSUN,51.6152716593245,18.4034824098028,34.6964064436183,35.5359765051395
36,36,2025 Cal Baptist,48.4110885733604,16.641041873926,34.0449438202247,29.8850574712644
37,37,2025 Cal Poly,53.6029911624745,21.4676949821332,27.9631760644419,28.144119646499
38,38,2025 Cal St. Bakersfield,47.992700729927,19.3594924338202,35.3510895883777,35.4014598540146
39,39,2025 Cal St. Fullerton,45.0079872204473,20.8947064718924,26.0975609756098,43.1309904153355
40,40,2025 California,48.0121293800539,16.6178553864899,35.2502662406816,38.2749326145553
41,41,2025 Campbell,50.1479289940828,15.6953476738369,24.6022031823745,30.0295857988166
42,42,2025 Canisius,50.8513931888545,18.6914407457568,18.4696569920844,22.6006191950464
43,43,2025 Central Arkansas,46.1325966850829,18.2939672032496,29.4994675186368,27.8314917127072
44,44,2025 Central Connecticut,51.7338709677419,17.2171348218267,26.9393511988717,26.6935483870968
45,45,2025 Central Michigan,49.5221546481321,18.3897940306436,32.6023391812866,33.1885317115552
46,46,2025 Charleston,51.7,16.123875846156,26.6968325791855,34.5333333333333
47,47,2025 Charleston Southern,49.2080633549316,19.52770208901,30.981256890849,45.8603311735061
48,48,2025 Charlotte,48.1707317073171,14.3612123463095,24.3013365735115,44.359756097561
49,49,2025 Chattanooga,55.5232558139535,15.5710125684627,24.9667994687915,32.1947674418605
50,50,2025 Chicago St.,43.2405566600398,19.1245073731806,22.8542914171657,28.6944996686547
51,51,2025 Cincinnati,51.9083969465649,15.2384550599384,33.4541062801932,24.8438584316447
52,52,2025 Clemson,54.4811320754717,15.8765686318397,33.7378640776699,28.3692722371968
53,53,2025 Cleveland St.,49.2824773413897,18.5698289319896,35.0449293966624,32.02416918429
54,54,2025 Coastal Carolina,49.1784037558685,18.7861856755334,27.9754601226994,33.489827856025
55,55,2025 Colgate,53.6312849162011,16.5109384967541,24.0537240537241,22.0670391061453
