,Team/Year,FT,2PT,3PT,FTagainst,2PTagainst,3Ptagainst
77,2016 Charleston Southern,14.3784,46.3784,39.2432,20.0482,47.1325,32.8193
78,2016 Drake,19.489,49.0982,31.4128,17.1258,53.8108,29.0634
79,2016 Norfolk St.,24.9467,45.3731,29.6802,23.197,43.779,33.024
80,2016 Nicholls St.,21.9619,49.4876,28.5505,21.6722,51.7471,26.5807
81,2016 Arkansas Pine Bluff,16.9791,50.5624,32.4585,27.907,48.8372,23.2558
82,2016 Mercer,19.4004,53.8801,26.7196,19.4419,40.5941,39.964
83,2016 Utah Valley,20.5103,44.8224,34.6673,20.8237,56.5479,22.6284
84,2016 LIU Brooklyn,23.5817,53.6833,22.735,20.746,51.9698,27.2842
85,2016 Binghamton,21.7843,50.1368,28.0788,19.3783,50.8985,29.7232
86,2016 West Virginia,23.7905,53.4012,22.8083,28.9936,44.5396,26.4668
87,2016 American,18.3754,48.8515,32.7731,20.5796,57.7603,21.6601
88,2016 North Carolina A&T,22.3823,49.6638,27.9539,24.1984,44.6345,31.1672
89,2016 Montana St.,17.2444,44.8442,37.9114,22.6569,49.0972,28.2459
90,2016 Vanderbilt,20.7103,46.6081,32.6816,21.3034,54.0225,24.6742
91,2016 USC,18.5239,52.3201,29.156,17.3827,53.2913,29.326
92,2016 Missouri,22.9069,52.3989,24.6943,22.458,46.2423,31.2997
93,2016 BYU,18.7917,48.8652,32.3431,19.1578,48.8619,31.9803
94,2016 Northern Kentucky,17.3779,49.4602,33.162,23.8905,49.1974,26.9122
95,2016 Western Kentucky,20.9877,52.3457,26.6667,15.8821,52.3127,31.8052
96,2016 Buffalo,22.9615,47.8462,29.1923,21.3926,49.5938,29.0135
97,2016 Virginia,18.0503,56.3595,25.5903,19.4869,48.7849,31.7282
98,2016 Lafayette,17.7871,47.8992,34.3137,19.3615,50.9121,29.7264
99,2016 Southeastern Louisiana,18.8279,50.5768,30.5953,20.9766,46.7941,32.2293
100,2016 Chattanooga,22.8212,47.7503,29.4285,17.0971,52.9831,29.9199
101,2016 Elon,16.3466,46.5386,37.1148,18.2097,55.1996,26.5906
102,2016 Gonzaga,19.0995,51.2709,29.6296,18.0952,54.632,27.2727
103,2016 La Salle,17.7859,43.022,39.192,19.3896,49.6409,30.9695
104,2016 Kansas,19.791,50.9777,29.2313,23.0184,49.96,27.0216
105,2016 Washington St.,17.9839,56.602,25.4141,21.6089,52.2037,26.1874
106,2016 Colorado St.,23.3571,40.5384,36.1045,19.5922,48.3806,32.0272
107,2016 SIU Edwardsville,22.4579,51.7673,25.7749,23.0658,51.5474,25.3868
108,2016 Campbell,23.0889,47.7379,29.1732,20.0294,52.7914,27.1792
109,2016 UMass Lowell,17.3831,49.8819,32.735,20.043,51.1828,28.7742
110,2016 Florida St.,20.2112,54.902,24.8869,19.9126,48.4897,31.5978
111,2016 Youngstown St.,17.8052,49.5372,32.6576,17.3608,53.7953,28.8439
112,2016 Southern,20.9456,54.5294,24.525,21.7746,49.7057,28.5197
113,2016 Abilene Christian,22.0042,48.5684,29.4274,23.2152,54.7839,22.001
114,2016 Longwood,19.2182,52.3034,28.4784,19.7261,43.3034,36.9705
115,2016 George Mason,20.3738,55.514,24.1121,18.0718,50.6701,31.2581
116,2016 South Florida,19.3765,61.4868,19.1367,20.5357,49.4898,29.9745
117,2016 Portland St.,17.8847,61.8248,20.2905,17.6886,54.5214,27.79
118,2016 Boston University,20.2336,47.2257,32.5407,18.8304,51.1821,29.9876
119,2016 Marist,21.0256,44.289,34.6853,19.322,50.4237,30.2542
120,2016 Mississippi St.,17.133,53.8097,29.0573,20.3901,51.1525,28.4574
121,2016 Liberty,14.8634,43.1694,41.9672,22.332,48.6166,29.0514
122,2016 Belmont,17.6701,43.6278,38.7021,20.8469,50.3257,28.8274
123,2016 UTEP,20.5858,52.5631,26.8511,20.0661,47.2337,32.7002
124,2016 Michigan,15.8546,45.1663,38.9791,16.0369,52.9807,30.9824
125,2016 Arkansas,20.7517,53.3387,25.9096,23.1381,47.8661,28.9958
126,2016 Georgia Tech,18.6717,57.0778,24.2505,18.7426,56.9745,24.2829
127,2016 Stetson,19.2127,49.7219,31.0655,16.1265,57.0751,26.7984
128,2016 Northern Arizona,21.88,46.0967,32.0234,18.1347,48.9637,32.9016
129,2016 Incarnate Word,21.5048,43.4587,35.0365,19.4504,52.5862,27.9634
130,2016 New Orleans,24.8231,54.095,21.0819,22.7931,47.6413,29.5656
131,2016 Arkansas St.,24.2728,51.4068,24.3205,21.559,45.7016,32.7394
132,2016 Siena,22.0384,53.7044,24.2572,22.6324,50.1605,27.2071
133,2016 UMBC,22.3234,49.5882,28.0884,20.0465,50.4071,29.5463
134,2016 Vermont,20.0743,52.9368,26.9888,20.6682,49.4949,29.8368
135,2016 Stony Brook,17.1478,57.3891,25.4632,17.1975,52.2293,30.5732
136,2016 Ohio St.,19.9431,53.3712,26.6856,18.7316,48.887,32.3814
137,2016 Sacred Heart,21.5607,55.5706,22.8687,21.0616,50.4281,28.5103
138,2016 Pittsburgh,21.0702,54.097,24.8328,17.6849,52.2738,30.0413
139,2016 Denver,20.188,44.9283,34.8837,24.0613,47.332,28.6067
140,2016 Cal St. Bakersfield,20.1489,57.2359,22.6152,23.8915,48.096,28.0125
141,2016 Harvard,15.2488,51.3644,33.3868,20.487,51.8793,27.6337
142,2016 Loyola Marymount,17.8134,51.3666,30.82,22.4191,45.0155,32.5654
143,2016 VMI,16.9239,44.8732,38.2029,21.9817,47.4266,30.5916
144,2016 Maine,17.5954,52.3914,30.0132,19.9156,54.8734,25.2111
145,2016 New Hampshire,22.3148,48.7963,28.8889,19.3504,49.4968,31.1528
146,2016 Middle Tennessee,17.0025,49.3703,33.6272,22.1929,49.6697,28.1374
147,2016 Houston,18.8611,55.0889,26.0501,21.1643,52.4368,26.3989
148,2016 Missouri St.,22.447,53.8536,23.6994,18.8962,50.2428,30.8609
149,2016 South Carolina St.,19.9038,55.818,24.2782,21.6055,48.4202,29.9744
150,2016 Sam Houston St.,20.4524,47.2761,32.2715,23.5021,45.7037,30.7942
151,2016 Rhode Island,19.955,51.2613,28.7838,23.2143,52.8958,23.89
152,2016 Green Bay,21.7716,52.2946,25.9338,19.9345,51.3641,28.7013
153,2016 Illinois St.,17.9191,48.8439,33.237,21.2579,50.2194,28.5227
154,2016 Bucknell,23.1525,48.5263,28.3212,21.868,48.2263,29.9057
155,2016 NJIT,19.3307,46.063,34.6063,18.7178,46.1417,35.1405
156,2016 St. John's,20.9257,50.7232,28.351,23.203,48.4237,28.3733
157,2016 Delaware St.,16.5464,48.6396,34.814,21.3771,46.3546,32.2682
158,2016 Sacramento St.,19.1552,52.554,28.2908,20.2158,50.9381,28.8462
159,2016 Miami OH,22.635,51.5106,25.8544,21.98,43.4151,34.6049
160,2016 Purdue,19.7359,50.7704,29.4938,18.1499,53.0469,28.8032
161,2016 Auburn,21.5328,41.2409,37.2263,21.6853,49.5663,28.7485
162,2016 Florida Atlantic,20.0,47.7262,32.2738,21.0048,57.9472,21.0481
163,2016 Iowa,18.7427,49.7462,31.5111,15.0853,53.1701,31.7446
164,2016 New Mexico St.,19.8849,58.1931,21.9221,17.4877,53.399,29.1133
165,2016 Eastern Michigan,24.5343,52.1581,23.3076,23.0254,43.909,33.0656
166,2016 Wright St.,18.1457,48.7417,33.1126,26.1245,47.433,26.4425
167,2016 The Citadel,18.9133,41.1448,39.9419,21.2719,55.9211,22.807
168,2016 Morehead St.,20.3323,55.9335,23.7342,27.6683,44.9918,27.3399
169,2016 Penn,17.9543,51.0337,31.012,18.49,54.5455,26.9646
170,2016 Hampton,22.4499,51.2642,26.286,21.0595,51.8454,27.0951
171,2016 San Diego,20.0457,47.7441,32.2102,23.0426,51.5362,25.4212
172,2016 Connecticut,18.5481,52.3755,29.0764,20.7877,47.7024,31.5098
173,2016 Oregon,21.6058,51.8263,26.5679,18.6374,50.5873,30.7753
174,2016 Pepperdine,22.1435,57.1302,20.7263,17.5603,54.4236,28.0161
175,2016 UNLV,22.0916,48.299,29.6094,22.997,51.2776,25.7254
176,2016 Louisiana Tech,21.9044,51.2464,26.8492,19.2391,54.3018,26.4591
177,2016 Georgia Southern,21.9878,42.0066,36.0056,22.9374,46.3282,30.7344
178,2016 Monmouth,22.8242,47.6057,29.5701,21.9662,44.6237,33.4101
179,2016 UT Arlington,19.7072,46.8468,33.4459,23.3488,42.3223,34.329
180,2016 Oregon St.,20.0718,51.3696,28.5586,21.5785,48.4489,29.9726
181,2016 UNC Greensboro,15.5095,47.7006,36.7899,21.8316,43.9236,34.2448
182,2016 UC Santa Barbara,16.1922,51.5125,32.2954,23.6079,46.2954,30.0966
183,2016 Wofford,21.8765,42.6214,35.5021,20.8969,56.2182,22.8849
184,2016 Evansville,24.2015,56.5111,19.2875,19.1027,53.284,27.6133
185,2016 Nevada,25.8393,53.791,20.3697,22.2903,49.7894,27.9203
186,2016 Saint Louis,21.7949,49.8575,28.3476,21.9089,46.8547,31.2364
187,2016 Montana,19.2716,49.3315,31.397,24.8303,47.8177,27.3521
188,2016 Brown,20.6494,46.1695,33.1811,19.7443,49.4318,30.8239
189,2016 Fresno St.,21.3675,53.2357,25.3968,24.8621,45.227,29.9109
190,2016 UC Davis,18.3107,54.9887,26.7007,19.0451,51.3528,29.6021
191,2016 Michigan St.,16.2549,49.266,34.4791,21.9599,50.7795,27.2606
192,2016 Stephen F. Austin,18.9713,50.9275,30.1012,21.595,54.4795,23.9254
193,2016 Texas A&M Corpus Chris,22.1188,51.1525,26.7287,24.5654,45.6542,29.7804
194,2016 Morgan St.,21.7499,55.2645,22.9857,20.4998,56.1777,23.3225
195,2016 Navy,21.6806,59.2386,19.0808,22.1743,42.6245,35.2011
196,2016 Central Connecticut,19.0678,54.8729,26.0593,16.4903,55.9965,27.5132
197,2016 Louisiana Monroe,18.1858,54.3383,27.4759,19.7233,48.8175,31.4592
198,2016 LSU,21.8678,54.7271,23.4051,17.735,51.3567,30.9084
199,2016 Alabama,20.8846,43.6845,35.4309,21.9893,49.777,28.2337
200,2016 Massachusetts,20.612,49.5538,29.8343,23.321,50.103,26.576
