,Team/Year,FT,2PT,3PT,FTagainst,2PTagainst,3Ptagainst
925,2024 Northern Colorado,15.5165373621886,55.4512045732952,29.0322580645161,17.2442244224422,49.5874587458746,33.1683168316832
926,2024 Northern Illinois,19.8550724637681,49.2753623188406,30.8695652173913,18.2491289198606,51.3066202090592,30.4442508710801
927,2024 Northern Iowa,20.5414697034809,50.4512247529007,29.0073055436184,18.3797909407666,47.9094076655052,33.7108013937282
928,2024 Northern Kentucky,19.9476211261458,54.9105194238324,25.1418594500218,17.0816950633464,51.4635211882918,31.4547837483617
929,2024 Northwestern,17.2884075411151,49.2579221821099,33.453670276775,21.5502555366269,49.0630323679727,29.3867120954003
930,2024 Northwestern St.,20.3208556149733,52.6981040350024,26.9810403500243,21.9565217391304,50.7826086956522,27.2608695652174
931,2024 Notre Dame,17.8892569805963,46.4742072882158,35.6365357311879,16.9675090252708,52.1660649819495,30.8664259927798
932,2024 Oakland,18.2115594329335,47.1101417666303,34.6782988004362,16.3629460895976,49.3545937737282,34.2824601366743
933,2024 Ohio,18.2971756037659,47.5644699140401,34.138354482194,19.8158702323542,49.5396755808856,30.6444541867602
934,2024 Ohio St.,20.2354672553348,51.729212656365,28.0353200883002,17.9193037974684,52.5316455696203,29.5490506329114
935,2024 Oklahoma,20.8540630182421,49.4195688225539,29.726368159204,19.9454793275784,53.0667878237165,26.9877328487051
936,2024 Oklahoma St.,18.75,46.919014084507,34.330985915493,16.5449076063601,56.1237645036528,27.3313278899871
937,2024 Old Dominion,15.8397815202549,54.5289030496131,29.631315430132,21.8529289572081,44.1213128375571,34.0257582052347
938,2024 Oral Roberts,16.0891089108911,46.6336633663366,37.2772277227723,18.7470997679814,48.538283062645,32.7146171693735
939,2024 Oregon,18.1550900404263,52.8482175670709,28.9966923925028,18.4857801691007,50.9607993850884,30.5534204458109
940,2024 Oregon St.,20.8294062205467,52.3091423185674,26.861451460886,19.9122807017544,50.6140350877193,29.4736842105263
941,2024 Pacific,20.5408216328653,50.130005200208,29.3291731669267,19.1315034821794,50.3891847603441,30.4793117574764
942,2024 Penn,15.1079136690647,47.584789311408,37.3072970195272,15.0269211943221,47.6749877630935,37.2980910425844
943,2024 Penn St.,20.7828894269572,48.3454398708636,30.8716707021792,21.7175887696119,54.9958711808423,23.2865400495458
944,2024 Pepperdine,18.3600713012478,53.8324420677362,27.807486631016,18.3104631217839,54.5454545454545,27.1440823327616
945,2024 Pittsburgh,17.314629258517,44.5691382765531,38.1162324649299,19.1308243727599,51.4336917562724,29.4354838709677
946,2024 Portland,18.2994454713494,44.8243992606285,36.8761552680222,12.6520681265207,46.7153284671533,40.632603406326
947,2024 Portland St.,20.1466992665037,48.6063569682152,31.2469437652812,18.8240872451399,49.3124703651019,31.8634423897582
948,2024 Prairie View A&M,22.5062656641604,57.0426065162907,20.4511278195489,23.3824185631415,51.8518518518519,24.7657295850067
949,2024 Presbyterian,19.2592592592593,55.1851851851852,25.5555555555556,22.3960661600358,49.9776486365668,27.6262852033974
950,2024 Princeton,17.1928120446819,42.4477901894123,40.3593977659058,14.8994018488309,53.2898314301251,31.810766721044
951,2024 Providence,18.232044198895,47.4348855564325,34.3330702446725,17.3660157872871,52.0980473618612,30.5359368508517
952,2024 Purdue,21.0214886328247,49.2681407661165,29.7103706010589,14.3441099962839,54.3292456335935,31.3266443701226
953,2024 Purdue Fort Wayne,16.4599774520857,47.576099210823,35.9639233370913,18.555869302138,53.2472771278741,28.1968535699879
954,2024 Queens,19.357530246141,47.976637463496,32.665832290363,16.40625,54.53125,29.0625
955,2024 Quinnipiac,18.8941925218775,52.5855210819411,28.5202863961814,17.2704296545914,51.1373209772536,31.592249368155
956,2024 Radford,16.780665754674,53.2603739170087,29.9589603283174,18.0893409995577,50.8624502432552,31.0482087571871
957,2024 Rhode Island,19.8202247191011,52.9438202247191,27.2359550561798,16.0234899328859,50.251677852349,33.7248322147651
958,2024 Rice,17.067635043123,50.6581933726736,32.2741715842034,16.2013536379019,49.1539763113367,34.6446700507614
959,2024 Richmond,16.1045531197302,53.2883642495784,30.6070826306914,17.1389396709324,48.9945155393053,33.8665447897623
960,2024 Rider,20.1275045537341,56.1020036429872,23.7704918032787,20.4819277108434,47.6572958500669,31.8607764390897
961,2024 Robert Morris,16.6743648960739,47.5750577367206,35.7505773672055,20.103314679294,53.0348687042617,26.8618166164443
962,2024 Rutgers,19.9330783938815,54.9713193116635,25.0956022944551,20.2442461249413,47.0643494598403,32.6914044152184
963,2024 SIU Edwardsville,19.7311569851176,49.7359577532405,30.5328852616419,20.7139502113668,47.7219351808361,31.5641146077971
964,2024 SMU,16.1434977578475,53.403995108031,30.4525071341215,20.5615942028986,49.5471014492754,29.8913043478261
965,2024 Sacramento St.,19.52288218111,47.3222979552094,33.1548198636806,18.0026281208936,51.2483574244415,30.7490144546649
966,2024 Sacred Heart,17.7116704805492,52.9061784897025,29.3821510297483,17.2805820827649,47.3851750795816,35.3342428376535
967,2024 Saint Francis,17.2783738001129,52.0609824957651,30.660643704122,19.0406976744186,50.8720930232558,30.0872093023256
968,2024 Saint Joseph's,16.4331692540704,43.6955698599016,39.871260886028,17.4564601053058,47.0635884973674,35.4799513973269
969,2024 Saint Louis,21.045972163644,47.3218051455082,31.6322226908477,19.1464369616288,46.2020360219264,34.6515270164448
970,2024 Saint Mary's,15.1100041511,53.6322125363221,31.2577833125778,20.9068010075567,54.3073047858942,24.7858942065491
971,2024 Saint Peter's,23.4155781325593,49.7339138848573,26.8505079825835,24.1311796377876,48.8497307880568,27.0190895741557
972,2024 Sam Houston St.,20.4524886877828,49.4117647058824,30.1357466063348,20.3413284132841,49.0774907749078,30.5811808118081
973,2024 Samford,18.687230989957,46.3414634146341,34.9713055954089,20.2992317023858,47.7961989486454,31.9045693489689
974,2024 San Diego,19.0560997328584,51.5583259127337,29.3855743544078,20.4874019000413,48.9054109871954,30.6071871127633
975,2024 San Diego St.,21.1627906976744,50.4651162790698,28.3720930232558,19.7965239508266,48.410343365833,31.7931326833404
976,2024 San Francisco,13.9165009940358,53.0417495029821,33.0417495029821,21.0167952791648,47.9346345891965,31.0485701316387
977,2024 San Jose St.,13.216485078162,50.4026527711985,36.3808621506395,18.6615186615187,50.7078507078507,30.6306306306306
978,2024 Santa Clara,17.7631578947368,50.9046052631579,31.3322368421053,19.4816414686825,51.231101511879,29.2872570194384
979,2024 Seattle,20.1217192848992,49.0680867249905,30.8101939901103,21.360824742268,53.5257731958763,25.1134020618557
980,2024 Seton Hall,19.3040293040293,55.5311355311355,25.1648351648352,16.5442597603402,47.8546579049092,35.6010823347507
981,2024 Siena,18.6659772492244,55.1189245087901,26.2150982419855,16.4147774979009,54.4920235096558,29.0931989924433
982,2024 South Alabama,18.843984962406,50.8458646616541,30.3101503759398,18.755676657584,53.5876475930972,27.6566757493188
983,2024 South Carolina,18.2040816326531,48.2448979591837,33.5510204081633,19.3295602960383,54.1575968654767,26.512842838485
984,2024 South Carolina St.,21.7412217412217,51.8518518518519,26.4069264069264,25.8781680746999,46.776345042241,27.3454868830591
985,2024 South Dakota,18.0426716141002,51.2059369202226,30.7513914656772,15.7850190435887,51.2060939483707,33.0088870080406
986,2024 South Dakota St.,16.3757273482959,50.2078137988362,33.4164588528678,16.3265306122449,42.9005644811116,40.7729049066435
987,2024 South Florida,21.2084833933573,43.3773509403762,35.4141656662665,19.493006993007,50.3496503496503,30.1573426573427
988,2024 Southeast Missouri St.,17.0017231476163,55.255600229753,27.7426766226307,23.1891103548858,55.5177442877978,21.2931453573165
989,2024 Southeastern Louisiana,21.1289487312273,46.7115484205075,32.1595028482651,17.7318596828448,46.2277751081211,36.0403652090341
990,2024 Southern,19.3499238191976,50.4824784154393,30.1675977653631,24.8778103616813,49.4623655913978,25.6598240469208
991,2024 Southern Illinois,20.8314707197139,45.2391595887349,33.9293696915512,20.6020696142992,57.3847601128881,22.0131702728128
992,2024 Southern Indiana,23.4930448222566,47.6043276661515,28.902627511592,26.6329346826127,45.6301747930083,27.736890524379
993,2024 Southern Miss,21.7080152671756,50.6679389312977,27.6240458015267,18.1152790484904,51.9670631290027,29.9176578225069
994,2024 Southern Utah,21.3848327837965,53.6033914272256,25.0117757889779,17.960088691796,60.2217294900222,21.8181818181818
995,2024 St. Bonaventure,19.2656765676568,49.6699669966997,31.0643564356436,18.719646799117,48.8300220750552,32.4503311258278
996,2024 St. John's,16.3335895465027,56.3412759415834,27.3251345119139,20.513900589722,49.2839090143218,30.2021903959562
997,2024 St. Thomas,16.4143803216651,45.6953642384106,37.8902554399243,17.1152869476892,50.8887760284408,31.99593702387
998,2024 Stanford,16.0867785509619,48.792468276709,35.1207531723291,14.3032284429914,52.4724152022885,33.2243563547201
999,2024 Stephen F. Austin,23.1349911190053,51.9538188277087,24.911190053286,25.684777727885,43.7359676695106,30.5792546026044
1000,2024 Stetson,18.6785260482846,46.7598475222363,34.561626429479,15.1652892561983,53.4710743801653,31.3636363636364
1001,2024 Stonehill,14.4514767932489,46.6244725738397,38.9240506329114,17.0984455958549,43.7823834196891,39.119170984456
1002,2024 Stony Brook,17.767929089444,50.201450443191,32.030620467365,15.9613059250302,46.9165659008464,37.1221281741233
1003,2024 Syracuse,19.3410355156183,54.0864356011981,26.5725288831836,15.4399323181049,53.7225042301184,30.8375634517766
1004,2024 TCU,19.9106810569408,55.0800148864905,25.0093040565687,19.7211972119721,52.7265272652727,27.5522755227552
1005,2024 Tarleton St.,18.854928971158,56.4786913473956,24.6663796814464,19.2256341789052,51.5353805073431,29.2389853137517
1006,2024 Temple,19.8296836982968,45.2554744525547,34.9148418491484,20.5527442584663,49.6691319579603,29.7781237835734
1007,2024 Tennessee,19.851904090268,46.8265162200282,33.3215796897038,21.8466611706513,45.0123660346249,33.1409727947238
1008,2024 Tennessee Martin,20.0269420745397,47.2384373596767,32.7346205657836,15.1376146788991,50.1834862385321,34.6788990825688
1009,2024 Tennessee St.,22.9749631811487,50.3681885125184,26.6568483063328,24.8210023866348,49.2601431980907,25.9188544152745
1010,2024 Tennessee Tech,18.4268426842684,54.015401540154,27.5577557755776,15.4629180804653,52.8356761997092,31.7014057198255
1011,2024 Texas,17.7136168552478,53.6090518923137,28.6773312524385,20.3245089666951,52.2630230572161,27.4124679760888
1012,2024 Texas A&M,22.9897660818713,49.0497076023392,27.9605263157895,18.4098803550753,44.7703589347742,36.8197607101505
1013,2024 Texas A&M Commerce,18.780971258672,45.3914767096135,35.8275520317146,21.1488250652742,54.8302872062663,24.0208877284595
1014,2024 Texas A&M Corpus Chris,21.8374218374218,56.0846560846561,22.0779220779221,25.9259259259259,47.9479479479479,26.1261261261261
1015,2024 Texas Southern,19.338768115942,49.5471014492754,31.1141304347826,22.7792436235708,49.2524186455585,27.9683377308707
1016,2024 Texas St.,21.7684021543986,59.245960502693,18.9856373429084,21.8400687876182,51.3327601031814,26.8271711092003
1017,2024 Texas Tech,20.2264740335806,45.9195626708317,33.8539632955877,16.4695945945946,51.8581081081081,31.6722972972973
1018,2024 The Citadel,19.0548014077426,54.7008547008547,26.2443438914027,13.2760267430755,52.6265520534862,34.0974212034384
1019,2024 Toledo,20.0390625,55.703125,24.2578125,14.8604269293924,55.3366174055829,29.8029556650246
1020,2024 Towson,19.4633924511141,52.0236471123238,28.5129604365621,18.5552407932011,50.4249291784703,31.0198300283286
1021,2024 Troy,23.1527093596059,44.3349753694581,32.512315270936,22.0427553444181,49.5961995249406,28.3610451306413
1022,2024 Tulane,23.5077677841374,49.6320523303352,26.8601798855274,18.5767480347538,46.4211832850641,35.002068680182
1023,2024 Tulsa,22.9596412556054,46.6367713004484,30.4035874439462,19.7227191413238,49.5527728085868,30.7245080500894
1024,2024 UAB,23.1767850324551,52.7682321496754,24.0549828178694,18.2808245818748,51.0307273434461,30.6884480746791
1025,2024 UC Davis,22.1967963386728,49.2448512585812,28.558352402746,22.4041159962582,51.9176800748363,25.6782039289055
1026,2024 UC Irvine,19.8180379746835,57.753164556962,22.4287974683544,21.2334801762115,52.5991189427313,26.1674008810573
1027,2024 UC Riverside,18.0712032447048,45.6962595763858,36.2325371789094,19.1709844559585,53.6269430051813,27.2020725388601
1028,2024 UC San Diego,18.7392055267703,47.3229706390328,33.9378238341969,17.4053554939982,53.0932594644506,29.5013850415512
1029,2024 UC Santa Barbara,21.6981132075472,54.5283018867925,23.7735849056604,17.2705882352941,56.1882352941176,26.5411764705882
1030,2024 UCF,21.4285714285714,50.0422654268808,28.5291631445478,23.1043710972346,44.5138269402319,32.3818019625335
1031,2024 UCLA,21.9419324131366,52.9271775345074,25.130890052356,19.8863636363636,46.0227272727273,34.0909090909091
1032,2024 UMBC,13.9334155363748,55.7336621454994,30.3329223181258,16.9579030976966,54.8054011119936,28.2366957903098
1033,2024 UMKC,17.741935483871,46.0410557184751,36.217008797654,23.8164251207729,49.0821256038647,27.1014492753623
1034,2024 UMass Lowell,22.7150537634409,55.6451612903226,21.6397849462366,16.3879598662207,57.5250836120401,26.0869565217391
1035,2024 UNC Asheville,22.7272727272727,47.0688190314359,30.2039082412914,19.6467040068936,52.0465316673847,28.3067643257217
1036,2024 UNC Greensboro,15.7798999545248,43.5652569349704,40.6548431105048,21.1320754716981,42.6415094339623,36.2264150943396
1037,2024 UNC Wilmington,19.7548326261198,49.4106553512494,30.8345120226308,18.444666001994,50.7477567298106,30.8075772681954
1038,2024 UNLV,19.0269331016507,53.6055603822763,27.367506516073,18.3079677708147,50.4028648164727,31.2891674127126
1039,2024 USC,18.3973834832379,50.6950122649223,30.9076042518397,18.8417618270799,46.9004893964111,34.257748776509
1040,2024 USC Upstate,16.0086533261222,51.0546241211466,32.9367225527312,23.6138613861386,50.0990099009901,26.2871287128713
1041,2024 UT Arlington,21.6768916155419,44.0899795501022,34.2331288343558,24.1739857800084,47.3442074445839,28.4818067754078
1042,2024 UT Rio Grande Valley,24.5073269327943,54.2698332491157,21.2228398180899,19.1798376762067,54.9337889790688,25.8863733447245
1043,2024 UTEP,23.3972859148339,53.4394010294806,23.1633130556855,24.1250583294447,51.7965468968735,24.0783947736818
1044,2024 UTSA,20.5857740585774,42.7615062761506,36.652719665272,19.2018964836033,48.4393520347689,32.3587514816278
1045,2024 Utah,13.9279588336192,50.5660377358491,35.5060034305317,15.3988183161004,52.8064992614476,31.794682422452
1046,2024 Utah St.,20.5916250480215,55.3207837111026,24.0875912408759,18.2387312186978,55.0918196994992,26.669449081803
1047,2024 Utah Tech,20.3028868906768,51.8693800283956,27.8277330809276,23.7931034482759,48.0172413793103,28.1896551724138
1048,2024 Utah Valley,20.137863121615,58.8872476612506,20.9748892171344,20.6280193236715,51.4009661835749,27.9710144927536
1049,2024 VCU,20.8750463477938,43.3073785687801,35.817575083426,21.0734017363852,48.1452249408051,30.7813733228098
1050,2024 VMI,17.4160206718346,55.9173126614987,26.6666666666667,15.5501421031263,52.0503451075924,32.3995127892814
1051,2024 Valparaiso,15.4629180804653,52.5448376151236,31.9922443044111,16.2632696390658,54.692144373673,29.0445859872611
1052,2024 Vanderbilt,21.5370455591348,49.6088357109986,28.8541187298665,17.8747940691928,47.7759472817133,34.3492586490939
1053,2024 Vermont,16.8977469670711,47.7469670710572,35.3552859618718,17.1808258186996,52.2069292833412,30.6122448979592
1054,2024 Villanova,17.6298157453936,42.7973199329983,39.572864321608,16.5396683101748,45.0022411474675,38.4580905423577
1055,2024 Virginia,14.2056074766355,54.9532710280374,30.8411214953271,17.1667486473192,50.6640432857846,32.1692080668962
1056,2024 Virginia Tech,19.5916764821358,47.8994895956027,32.5088339222615,17.9030252797348,54.3721508495649,27.7248238707004
1057,2024 Wagner,17.0135275754422,49.4276795005203,33.5587929240375,17.5226586102719,51.0574018126888,31.4199395770393
1058,2024 Wake Forest,18.9901207464325,50.4939626783754,30.5159165751921,18.7221997573797,52.163364334816,29.1144359078043
1059,2024 Washington,17.7975959674292,52.1907716169058,30.011632415665,18.6790923824959,52.7552674230146,28.5656401944895
1060,2024 Washington St.,17.6767676767677,56.3325563325563,25.990675990676,20.0,54.3040685224839,25.6959314775161
1061,2024 Weber St.,19.6605374823197,50.0707213578501,30.2687411598303,16.1290322580645,53.7965260545906,30.0744416873449
1062,2024 West Virginia,20.9042076991943,47.8066248880931,31.2891674127126,16.5514436762912,47.3363155754372,36.1122407482717
1063,2024 Western Carolina,16.0238751147842,52.157943067034,31.8181818181818,19.5652173913043,52.8656126482213,27.5691699604743
1064,2024 Western Illinois,19.2789968652038,55.1724137931034,25.5485893416928,16.3766632548618,58.4442169907881,25.1791197543501
1065,2024 Western Kentucky,18.2637182637183,56.4291564291564,25.3071253071253,18.7904967602592,48.2937365010799,32.9157667386609
1066,2024 Western Michigan,16.7595171773445,50.5106778087279,32.7298050139276,18.2717110920034,50.1289767841788,31.5993121238177
1067,2024 Wichita St.,15.546218487395,57.9831932773109,26.4705882352941,17.5692434890451,50.9301364200083,31.5006200909467
1068,2024 William & Mary,18.7087653157399,42.6955702167766,38.5956644674835,19.9478487614081,51.1082138200782,28.9439374185137
1069,2024 Winthrop,25.114995400184,46.1821527138914,28.7028518859246,20.8255159474672,47.6547842401501,31.5196998123827
1070,2024 Wisconsin,19.6428571428571,51.7857142857143,28.5714285714286,19.047619047619,51.4285714285714,29.5238095238095
1071,2024 Wofford,13.9688532326569,47.0976875884851,38.933459178858,20.045766590389,44.3935926773455,35.5606407322654
1072,2024 Wright St.,17.9110251450677,58.4139264990329,23.6750483558994,16.3511880789368,51.8727345952477,31.7760773258155
1073,2024 Wyoming,21.8444340940848,47.4149976711691,30.7405682347462,16.2698412698413,51.0582010582011,32.6719576719577
1074,2024 Xavier,19.4261341605273,53.5866614967041,26.9872043427685,17.5728920409771,52.876280535855,29.5508274231678
1075,2024 Yale,15.8289241622575,54.1446208112875,30.026455026455,17.7351427234441,47.1689284043051,35.0959288722508
1076,2024 Youngstown St.,18.3060109289617,48.9071038251366,32.7868852459016,17.8677196446199,51.6288252714709,30.5034550839092
1077,2023 Abilene Christian,19.2868719611021,52.5121555915721,28.2009724473258,22.2907036466359,51.3610683102209,26.3482280431433
1078,2023 Air Force,17.2268907563025,46.218487394958,36.5546218487395,21.0624417520969,55.7315936626281,23.2059645852749
1079,2023 Akron,19.6607220530666,44.7150935189213,35.6241844280122,17.3276676109537,51.6525023607177,31.0198300283286
1080,2023 Alabama,20.3171456888008,43.4093161546085,36.2735381565907,21.9319081551861,54.0775930324624,23.9904988123515
1081,2023 Alabama A&M,19.2741539970574,52.4767042667974,28.2491417361452,23.0408259033318,45.4246832473017,31.5344908493665
1082,2023 Alabama St.,20.6086492258409,50.7207688200747,28.6705819540844,19.3652253909844,51.7939282428703,28.8408463661454
1083,2023 Albany,19.2727272727273,46.7532467532468,33.974025974026,19.7737556561086,54.027149321267,26.1990950226244
1084,2023 Alcorn St.,21.9399538106236,55.3348729792148,22.7251732101617,20.8056662239929,47.9858344400177,31.2084993359894
1085,2023 American,15.2412804586718,55.5183946488294,29.2403248924988,18.2938388625592,50.9952606635071,30.7109004739336
1086,2023 Appalachian St.,16.3426169206516,51.1823436678928,32.4750394114556,15.8498435870699,50.3649635036496,33.7851929092805
1087,2023 Arizona,18.3182135380321,50.8025122121424,30.8792742498255,16.1847389558233,50.4417670682731,33.3734939759036
1088,2023 Arizona St.,18.1711606096131,49.7069167643611,32.1219226260258,20.2697180220678,45.5251328156927,34.2051491622395
1089,2023 Arkansas,21.1927981995499,58.6646661665416,20.1425356339085,23.017170891251,53.8021259198692,23.1807031888798
1090,2023 Arkansas Pine Bluff,21.7217787913341,43.2155074116306,35.0627137970354,23.1122448979592,49.1836734693878,27.7040816326531
1091,2023 Arkansas St.,19.9372056514914,50.8634222919937,29.1993720565149,20.5452775073028,50.2434274586173,29.2112950340798
1092,2023 Army,16.8925022583559,52.4841915085818,30.6233062330623,16.1363636363636,53.1818181818182,30.6818181818182
1093,2023 Auburn,20.3314470493129,52.8698464025869,26.7987065481002,23.1972198088619,51.7810599478714,25.0217202432667
1094,2023 Austin Peay,17.2936552498596,50.5334081976418,32.1729365524986,20.1073694485115,53.3918984870669,26.5007320644217
1095,2023 BYU,18.5997469422185,50.7802614930409,30.6199915647406,20.8742194469224,48.349687778769,30.7760927743087
1096,2023 Ball St.,21.5111111111111,48.3555555555556,30.1333333333333,18.3402109124255,50.9857863365429,30.6740027510316
1097,2023 Baylor,20.4658266513937,42.5353188239786,36.9988545246277,17.8735872750105,52.7417329426538,29.3846797823357
1098,2023 Bellarmine,15.9055118110236,49.7637795275591,34.3307086614173,17.5371346430283,39.7700047915668,42.6928605654049
1099,2023 Belmont,13.7478849407783,48.5617597292724,37.6903553299492,15.9839715048976,54.4968833481745,29.5191451469279
1100,2023 Bethune Cookman,19.4251734390486,49.9504459861249,30.6243805748266,19.5822454308094,50.9138381201044,29.5039164490862
1101,2023 Binghamton,16.9387755102041,58.5714285714286,24.4897959183673,20.4945316214931,51.8307180218735,27.6747503566334
1102,2023 Boise St.,17.7890724269377,50.0635324015248,32.1473951715375,16.8376865671642,52.5186567164179,30.6436567164179
1103,2023 Boston College,16.8866636322258,57.441966317706,25.6713700500683,16.2710401381096,48.2520500647389,35.4769097971515
1104,2023 Boston University,18.6250609458801,48.7567040468064,32.6182350073135,20.1428571428571,48.2857142857143,31.5714285714286
1105,2023 Bowling Green,18.5648148148148,52.4074074074074,29.0277777777778,18.4749455337691,50.8061002178649,30.718954248366
1106,2023 Bradley,14.4117647058824,51.9327731092437,33.6554621848739,20.4588014981273,47.940074906367,31.6011235955056
1107,2023 Brown,15.8679446219382,49.6272630457934,34.5047923322684,15.7051282051282,52.2435897435897,32.0512820512821
1108,2023 Bryant,18.8670411985019,50.6554307116105,30.4775280898876,18.3412322274882,49.0995260663507,32.5592417061611
1109,2023 Bucknell,15.8203125,52.83203125,31.34765625,14.7663551401869,52.7102803738318,32.5233644859813
1110,2023 Buffalo,18.531623175586,55.1968155683326,26.2715612560814,19.746835443038,51.6455696202532,28.6075949367089
1111,2023 Butler,16.235632183908,54.0229885057471,29.7413793103448,13.7074517019319,58.6936522539098,27.5988960441582
1112,2023 Cal Baptist,17.4794785127958,46.7407049734428,35.7798165137615,18.2574645129711,56.779246206559,24.9632892804699
1113,2023 Cal Poly,20.1630434782609,52.2826086956522,27.554347826087,23.3463035019455,48.6381322957198,28.0155642023346
1114,2023 Cal St. Bakersfield,19.9782253674469,59.1181273816004,20.9036472509526,23.4634146341463,43.609756097561,32.9268292682927
1115,2023 Cal St. Fullerton,21.3881019830028,46.1756373937677,32.4362606232295,19.6011673151751,49.6108949416342,30.7879377431907
1116,2023 Cal St. Northridge,23.462166575939,49.7550353837779,26.7827980402831,22.3652837386743,47.3056747734859,30.3290414878398
1117,2023 California,20.6859592711683,54.2336548767417,25.08038585209,18.4574230940704,51.1814534106108,30.3611234953188
1118,2023 Campbell,20.1091901728844,50.9554140127389,28.9353958143767,17.609778180172,48.9814395654142,33.4087822544138
1119,2023 Canisius,15.7973174366617,49.1803278688525,35.0223546944858,15.493623051488,56.5895134624469,27.9168634860652
1120,2023 Central Arkansas,16.2488393686165,48.9322191272052,34.8189415041783,15.8640226628895,51.2343180898422,32.9016592472683
1121,2023 Central Connecticut,14.68498342018,54.1923259118901,31.1226906679299,16.0801781737194,51.5812917594655,32.3385300668151
1122,2023 Central Michigan,21.8133333333333,49.3866666666667,28.8,21.1090400745573,46.0391425908667,32.851817334576
1123,2023 Charleston,19.2762186115214,43.7223042836041,37.0014771048744,15.0043744531934,59.4050743657043,25.5905511811024
1124,2023 Charleston Southern,16.6013712047013,50.048971596474,33.3496571988247,19.487648673376,48.124428179323,32.387923147301
1125,2023 Charlotte,14.4813278008299,49.2946058091286,36.2240663900415,14.8690634709277,52.3746116289392,32.7563249001332
1126,2023 Chattanooga,17.5124792013311,37.936772046589,44.5507487520799,18.5497470489039,46.2900505902192,35.1602023608769
1127,2023 Chicago St.,19.2200557103064,46.6852367688022,34.0947075208914,18.9027431421446,50.573566084788,30.5236907730673
1128,2023 Cincinnati,15.0858849887976,50.8588498879761,34.0552651232263,18.4426229508197,56.7213114754098,24.8360655737705
1129,2023 Clemson,18.1102362204724,48.5826771653543,33.3070866141732,19.2807625649913,46.0138648180243,34.7053726169844
1130,2023 Cleveland St.,17.1174978867287,62.4683009298394,20.414201183432,18.6433260393873,51.8161925601751,29.5404814004376
1131,2023 Coastal Carolina,19.3482688391039,51.0183299389002,29.6334012219959,16.5819861431871,42.6789838337182,40.7390300230947
1132,2023 Colgate,13.4848484848485,55.3787878787879,31.1363636363636,11.7075232459848,54.9450549450549,33.3474218089603
1133,2023 Colorado,17.5051124744376,54.3967280163599,28.0981595092025,19.0374787052811,53.236797274276,27.7257240204429
1134,2023 Colorado St.,16.7838312829525,52.1089630931459,31.1072056239016,17.4332019272887,45.9045116075339,36.6622864651774
1135,2023 Columbia,17.9705215419501,48.5260770975057,33.5034013605442,16.2835249042146,56.1302681992337,27.5862068965517
1136,2023 Connecticut,17.8524804177546,47.5848563968668,34.5626631853786,23.7904838064774,52.9388244702119,23.2706917233107
1137,2023 Coppin St.,20.7465277777778,44.3576388888889,34.8958333333333,18.8650883126644,49.0041337842916,32.130777903044
1138,2023 Cornell,15.6937799043062,46.1244019138756,38.1818181818182,16.6086524117355,51.0193933366484,32.3719542516161
1139,2023 Creighton,17.008486562942,49.1513437057991,33.8401697312588,13.1963650730936,59.4231529039905,27.3804820229158
1140,2023 Dartmouth,16.8526785714286,49.3303571428571,33.8169642857143,18.3557394002068,53.2574974146846,28.3867631851086
1141,2023 Davidson,19.730107026524,52.2103303862262,28.0595625872499,15.6586966713549,54.1022034692921,30.239099859353
1142,2023 Dayton,18.9802913453299,52.0994001713796,28.9203084832905,15.7590361445783,52.433734939759,31.8072289156627
1143,2023 DePaul,17.0285227756492,48.105576841209,34.8659003831418,19.7569580556644,51.9012152097217,28.3418267346139
1144,2023 Delaware,19.6396396396396,51.981981981982,28.3783783783784,17.0688898639754,52.3913997367266,30.5397103992979
1145,2023 Delaware St.,17.8935447338618,56.2853907134768,25.8210645526614,18.794159208667,43.3349034385304,37.8709373528026
1146,2023 Denver,21.4883720930233,59.2558139534884,19.2558139534884,16.7699115044248,50.4424778761062,32.787610619469
1147,2023 Detroit Mercy,16.9679539852095,42.974527526705,40.0575184880855,16.9764560099133,49.3184634448575,33.7050805452292
1148,2023 Drake,17.1279582831929,51.5844364219816,31.2876052948255,17.0475319926874,51.2797074954296,31.672760511883
1149,2023 Drexel,17.1707317073171,50.6341463414634,32.1951219512195,15.3688524590164,59.1188524590164,25.5122950819672
1150,2023 Duke,18.3256172839506,53.3179012345679,28.3564814814815,16.4192139737991,53.9737991266376,29.6069868995633
1151,2023 Duquesne,15.210355987055,48.1391585760518,36.6504854368932,19.4302721088435,52.1258503401361,28.4438775510204
1152,2023 East Carolina,21.3121972699251,45.7948040510788,32.892998678996,19.3811774817361,52.7718091963902,27.8470133218737
1153,2023 East Tennessee St.,17.165277096616,55.321235899951,27.5134870034331,16.2991371045062,48.6097794822627,35.0910834132311
1154,2023 Eastern Illinois,17.5863847343992,59.2057761732852,23.2078390923156,17.9832713754647,47.3048327137546,34.7118959107807
1155,2023 Eastern Kentucky,14.0637450199203,55.2191235059761,30.7171314741036,15.5688622754491,49.8203592814371,34.6107784431138
1156,2023 Eastern Michigan,20.0092421441774,54.3438077634011,25.6469500924214,18.1631816318163,50.5945059450595,31.2423124231242
1157,2023 Eastern Washington,17.4404521598708,48.0419862737182,34.517561566411,18.0631578947368,46.0631578947368,35.8736842105263
1158,2023 Elon,16.8844746471511,52.3784631468897,30.7370622059592,16.4743885556068,44.76234425473,38.7632671896631
