seed,Team/Year,AdjTempo,AdjOE,AdjDE,AdjEM,OppeFGPct,OppTOPct,OppORPct,OppFTRate,eFGPct,TOPct,ORPct,FTRate
12.0,2004 Pacific,63.9397,108.144,99.4025,8.74172,45.7627,19.3636,33.9991,28.5949,52.7061,21.3336,31.1433,45.2486
3.0,2004 Pittsburgh,59.5043,115.248,89.1178,26.1303,42.8723,19.8473,34.4449,23.4043,51.1583,19.4179,40.6063,38.61
14.0,2004 Princeton,56.7748,106.042,100.548,5.49455,46.3453,20.7116,29.4925,38.3359,53.7975,21.4647,31.5254,34.9683
5.0,2004 Providence,65.2472,112.317,93.6525,18.6645,47.4847,21.9189,36.359,29.4478,52.1985,22.3335,36.8004,34.7362
11.0,2004 Richmond,62.8739,104.896,89.8371,15.0585,44.5186,22.6737,33.7878,39.0951,46.2437,19.8571,34.0026,36.0601
1.0,2004 Saint Joseph's,66.7822,118.522,90.716,27.8057,44.3852,23.9865,36.1319,33.4082,56.1196,16.8828,29.6487,33.6992
8.0,2004 Seton Hall,66.1769,111.199,93.5699,17.629,44.9507,19.2657,32.4728,34.1265,51.0252,18.9701,34.3012,34.6221
10.0,2004 South Carolina,66.1339,110.845,94.2486,16.596,44.7037,23.9279,36.0531,32.7215,49.23,19.3598,34.6403,35.4209
9.0,2004 Southern Illinois,65.7203,108.685,94.3307,14.3539,47.421,25.0222,33.565,38.8137,49.5493,17.6657,35.6026,30.4225
1.0,2004 Stanford,64.4998,112.228,89.1711,23.0568,43.9542,21.3939,29.7064,33.1232,52.7103,20.8823,37.0672,36.7024
5.0,2004 Syracuse,66.2186,111.069,95.3779,15.6907,44.8179,19.5802,38.6469,35.07,50.141,18.1499,38.3694,36.6046
3.0,2004 Texas,65.1866,113.481,93.1471,20.3341,44.8128,20.1979,32.541,38.5561,49.7312,17.053,41.9558,35.4839
8.0,2004 Texas Tech,67.144,110.153,94.0599,16.0926,48.6291,24.4368,36.138,30.2121,49.672,17.838,33.49,35.4692
9.0,2004 UAB,70.7046,106.371,91.9116,14.4594,47.9795,27.2147,37.5,44.6215,49.4992,18.2287,31.5938,32.9494
14.0,2004 UCF,62.721,103.633,97.8035,5.82918,45.896,23.0921,32.2425,36.2155,51.9484,22.6887,37.7114,29.5564
13.0,2004 UTEP,68.6573,111.176,96.667,14.5091,47.8929,22.1216,34.6171,29.4419,52.6878,19.3324,31.7833,44.5938
16.0,2004 UTSA,68.8797,98.0201,105.56,-7.53956,48.3973,21.1366,33.989,33.028,48.2979,23.5223,34.3779,42.0669
11.0,2004 Utah,59.267,110.026,95.1873,14.839,45.6603,17.6308,27.8095,34.3459,52.9785,22.2595,37.0531,34.474
13.0,2004 VCU,64.642,104.824,96.0897,8.73412,45.3751,20.3973,30.8511,31.5849,53.6028,23.6477,36.0952,35.9695
15.0,2004 Valparaiso,69.4589,100.308,99.4266,0.881225,46.7614,18.4333,32.2733,43.6364,48.5417,22.2599,33.7882,43.0357
6.0,2004 Vanderbilt,65.74,112.729,93.7684,18.9602,47.5744,22.1058,31.8619,32.3594,51.9221,18.6461,32.5285,35.2376
